Language, Domain, Intent, Industry, Text, Want To
Danish,Employer Guidelines,Refusal To Work,Coronavirus,En af mine ansatte vil ikke tage på arbejde. Hvad kan jeg gøre,vide hvad dine muligheder er som arbejdsgiver hvis en af dine ansatte nægter at arbejde på grund af Coronavirus/COVID-19
Danish,Employer Guidelines,Refusal To Travel,Coronavirus,Kan en ansat nægte at rejse PGA virussen,vide om en ansat kan nægte at rejse på grund af Coronavirus/COVID-19
Danish,Employer Guidelines,Vacation,Coronavirus,"Kan aftalt ferie ændres, hvis en ansat ikke kan tage på ferie nu",vide om aftalt ferie kan ændres hvis en ansat ikke er i stand til at holde ferie på grund af Coronavirus/COVID-19
Danish,About Coronavirus,Treatment,Coronavirus,hvordan behanlder man corona,know how Coronavirus/COVID-19 is treated
Danish,About Coronavirus,Coronavirus Versus Influenza,Coronavirus,Er corona ikke bare det samme som influenza,ask if Coronavirus/COVID-19 is the same as Influenza
Danish,About Coronavirus,Symptoms,Coronavirus,hvilke symptomer har man hvis man er smittet,know what the symptoms of being infected with Coronavirus/COVID-19 are
Danish,About Coronavirus,Methods of Transmission,Coronavirus,Hvordan smitter corona ?,know how Coronavirus/COVID-19 is transmitted
Danish,Employer Guidelines,Daycare,Coronavirus,Hvad kan jeg gøre hvis en ansat ikke kan få dit barn passet,vide hvad man kan gøre som arbejdsgiver hvis en ansat ikke kan få sit barn passet fordi barnets skole eller daginstitution er lukket på grund af Coronavirus/COVID-19
Danish,About Coronavirus,What Is Coronavirus,Coronavirus,Hvad er corona egentlig?,know what Coronavirus/COVID-19 is
Danish,Employer Guidelines,Quarantine,Coronavirus,En ansat er i karantæne... Hvad kan jeg gøre,vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er under karantæne
Danish,About Coronavirus,What Do We Know About Coronavirus,Coronavirus,Hvad ved vi egentlig om corona,know what we know about Coronavirus/COVID-19
Danish,Contact,Hotline,Coronavirus,Jeg vil gerne snakke med den der hotline,kontakte en hotline
Danish,Employer Guidelines,Refusal To Work,Coronavirus,"hvad er mine muligheder som arbejdsgiver, hvis en af mine ansatte nægter at arbejde pga corona",know what your options are as an employer if one of your employees is refusing to work due to Coronavirus/COVID-19
Danish,About Coronavirus,Testing,Coronavirus,Hvem skal testes,vide hvem burde testes
Danish,Employer Guidelines,Refusal To Work,Coronavirus,"har jeg som arbejdsgiver ret til at tvinge ansatte til at arbejde, hvis de nægter dette pga. covid-19",vide hvad dine muligheder er som arbejdsgiver hvis en af dine ansatte nægter at arbejde på grund af Coronavirus/COVID-19
Danish,About Coronavirus,Fear,Coronavirus,Skal jeg være bange for coronavirusset?,vide hvor bange du burde være for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,Hvad anbefaler sundhedsstyrelsen lige nu,vide hvad sundhedsstyrelsens anbefalinger er
Danish,Coronavirus Recommendations,Public Spaces,Coronavirus,Skal jeg opføre mig anderledes i det offentlige rum nu? ,bede om anbefalinger til hvordan du skal begå dig i det offentlige rum
Danish,Employer Guidelines,Refusal To Travel,Coronavirus,_,vide om en ansat kan nægte at rejse på grund af Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Illness,Coronavirus,Jeg er syg... Hvad gør jeg,vide hvad du skal gøre hvis du er blevet syg
Danish,Coronavirus Recommendations,Contact With Infected,Coronavirus,Hvad skal man gøre hvis man har været tæt på en der et testet positiv? ,vide hvad du skal gøre hvis du har været nær en person som har testet positiv for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Employer,Coronavirus,Hvordan kan jeg bedre beskytte mine ansatte,vide hvad du skal gøre som arbejdsgiver for at beskytte dine ansatte
Danish,Employer Guidelines,Vacation,Coronavirus,"Min ansatte kan ikke længere rejse som planlagt pga. corona, og vil nu gerne ændre sin aftalte ferie. Er det muligt",vide om aftalt ferie kan ændres hvis en ansat ikke er i stand til at holde ferie på grund af Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Citizen,Coronavirus,Hvordan kan jeg minimere spredningen?,vide hvad du kan gøre som borger for at minimere spredningen af Coronavirus/COVID-19
Danish,About Coronavirus,Strategy,Coronavirus,Hvad er strategien lige nu,vide hvad den nuværende strategi er
Danish,Coronavirus Recommendations,Infection Prevention,Coronavirus,Hvordan undgår jeg at blive smittet,vide hvordan du kan undgå at blive smittet
Danish,Coronavirus Recommendations,Doctor,Coronavirus,Hvornår skal jeg tage til lægen,vide hvornår du burde tage til lægen
Danish,Employer Guidelines,Daycare,Coronavirus,det er et stort problem at flere af mine ansatte ikke kan få deres børn passet pga. nedlukning af skole og institutioner. hvad kan jeg som arbejdsgiver gøre ,vide hvad man kan gøre som arbejdsgiver hvis en ansat ikke kan få sit barn passet fordi barnets skole eller daginstitution er lukket på grund af Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Pet,Coronavirus,"Hvis jeg får covid19, hvordan skal jeg så passe på min hund",vide hvad du skal gøre med dit kæledyr hvis du er testet positiv for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,People At Risk,Coronavirus,Hvem er i særlig smitterisiko,vide hvem der er i særlig risiko for smitte og efterfølgende sygdom
Danish,Employer Guidelines,Quarantine,Coronavirus,Er der noget særligt jeg skal være opmærksom på eller jeg er påbudt at gøre hvis en af mine ansatte er i karantæne pga. corona virus,vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er under karantæne
Danish,Coronavirus Recommendations,Actions If At Risk,Coronavirus,Jeg er særligt udsat og har en kronisk sygdom. Hvad skal jeg gøre,vide hvad du skal gøre hvis du er en del af en af risikogrupperne
Danish,Coronavirus Recommendations,Pregnant,Coronavirus,"Hvad gør jeg, hvis jeg er gravid",vide hvad du skal gøre hvis du er gravid
Danish,Coronavirus Recommendations,Doctor,Coronavirus,jeg  er lidt usikker på om jeg burde kontakte lægen,vide hvornår du burde tage til lægen
Danish,About Coronavirus,What Is Coronavirus,Coronavirus,Hvad er Corona egentlig for noget,vide hvad Coronavirus/COVID-19 er
Danish,Contact,Hotline,Coronavirus,Kan jeg få fat i en medarbejder der kan hjælpe mig med lidt mere specifikke spørgsmål vedr. corona,kontakte en hotline
Danish,About Coronavirus,What Do We Know About Coronavirus,Coronavirus,Hvad ved vi overhovedet om coronavirus,vide hvad vi ved om Coronavirus/COVID-19
Danish,About Coronavirus,Symptoms,Coronavirus,"Hvilke symptomer har en, der er smittet?",vide hvilke symptomer man udviser når man er smittet med Coronavirus/COVID-19
Danish,About Coronavirus,Treatment,Coronavirus,"Hvis man bliver smittet med corona og bliver alvorligt syg, hvordan bliver man så behandlet for virussen",vide hvordan Coronavirus/COVID-19 behandles
Danish,About Coronavirus,Methods of Transmission,Coronavirus,Hvordan smitter coronavirus,vide hvordan Coronavirus/COVID-19 smitter
Danish,About Coronavirus,Treatment,Coronavirus,Hvordan bliver folk behandlet for covid19,vide hvordan Coronavirus/COVID-19 behandles
Danish,About Coronavirus,Coronavirus Versus Influenza,Coronavirus,Er covid-19 det samme som en almindelig influenza eller er der forskel,spørge om Coronavirus/COVID-19 er det samme som influenza
Danish,About Coronavirus,Coronavirus Versus Influenza,Coronavirus,Er Corona det samme som influenza?,spørge om Coronavirus/COVID-19 er det samme som influenza
Danish,About Coronavirus,Latest News,Coronavirus,Hvor kan jeg læse de seneste og mest aktuelle nyheder om corona ,spørge om de seneste nyheder vedrørende Coronavirus/COVID-19
Danish,About Coronavirus,Latest News,Coronavirus,Har du de seneste nyheder om coronavirus,spørge om de seneste nyheder vedrørende Coronavirus/COVID-19
Danish,About Coronavirus,Status,Coronavirus,Hvad er status lige nu på covid19,vide hvad statussen på Coronavirus/COVID-19 er
Danish,About Coronavirus,Status,Coronavirus,Kan jeg få oplyst de seneste tal for corona virus i danmark og internationalt,vide hvad statussen på Coronavirus/COVID-19 er
Danish,About Coronavirus,Fear,Coronavirus,Hvor bange skal jeg være for virussen,vide hvor bange du burde være for Coronavirus/COVID-19
Danish,About Coronavirus,Strategy,Coronavirus,Hvad er regeringens nuværende og seneste strategi i kampen mod corona,vide hvad den nuværende strategi er
Danish,Coronavirus Recommendations,Pet,Coronavirus,"Hvordan jeg jeg tage mig af mine katte, hvis jeg bliver testet positiv",vide hvad du skal gøre med dit kæledyr hvis du er testet positiv for Coronavirus/COVID-19
Danish,About Coronavirus,Testing,Coronavirus,"Hvornår bør man blive testet for corona, vi har en mistanke om at en i familien måske er smittet",vide hvem burde testes
Danish,Coronavirus Recommendations,Pregnant,Coronavirus,er i 5 måned. noget særligt jeg skal gøre?_,vide hvad du skal gøre hvis du er gravid
Danish,Coronavirus Recommendations,Pet,Coronavirus,"Hvis jeg er positiv, hvad gør jeg så med min kat",vide hvad du skal gøre med dit kæledyr hvis du er testet positiv for Coronavirus/COVID-19
Danish,About Coronavirus,Fear,Coronavirus,Hvor stor en fare udgør corona virus? Bør man være meget bekymret for virussens udbredelse?,vide hvor bange du burde være for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Illness,Coronavirus,"Hvad gør jeg, hvis jeg bliver syg",vide hvad du skal gøre hvis du er blevet syg
Danish,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,Hvad anbefaler sundhedsstyrelsen af den enkelte gør for at minimere smitte,vide hvad sundhedsstyrelsens anbefalinger er
Danish,Coronavirus Recommendations,Swimming Hall,Coronavirus,Er der ekstra smitterisiko i en svømmehal,vide om du er i særlig risiko for at blive smittet hvis du svømmer i en svømmehal
Danish,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,Hvad er sundhedsstyrelsen anbefalinger,vide hvad sundhedsstyrelsens anbefalinger er
Danish,About Coronavirus,Treatment,Coronavirus,Hvordan bliver coronavirus behandlet,vide hvordan Coronavirus/COVID-19 behandles
Danish,Coronavirus Recommendations,Public Spaces,Coronavirus,"Hvis jeg ellers er sund og rask og bliver nødt til at fx gå på arbejde, hvordan skal jeg så forholde mig til færden i det offentlige rum",bede om anbefalinger til hvordan du skal begå dig i det offentlige rum
Danish,Coronavirus Recommendations,Pregnant,Coronavirus,"Hvad gør man som gravid, i forhold til coronavirus",vide hvad du skal gøre hvis du er gravid
Danish,About Coronavirus,Status,Coronavirus,Hvad er status på corona,vide hvad statussen på Coronavirus/COVID-19 er
Danish,Coronavirus Recommendations,Illness,Coronavirus,"Jeg er desværre blevet syg med influenza lignende symptomer, jeg ved ikke om det nødvendigvis er corona. hvad skal jeg gøre",vide hvad du skal gøre hvis du er blevet syg
Danish,About Coronavirus,Symptoms,Coronavirus,Hvilke symptomer er der hos en smittet,vide hvilke symptomer man udviser når man er smittet med Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Contact With Infected,Coronavirus,Jeg har været i tæt kontakt med en veninde som senere har vist sig at være smittet af corona. hvad bør jeg gøre herfra ,vide hvad du skal gøre hvis du har været nær en person som har testet positiv for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Employer,Coronavirus,Hvordan beskytter vi bedst vores ansatte mod smitte på arbejdspladsen,vide hvad du skal gøre som arbejdsgiver for at beskytte dine ansatte
Danish,Employer Guidelines,Refusal To Travel,Coronavirus,Kan en ansat nægte at rejse på grund af covid19,vide om en ansat kan nægte at rejse på grund af Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Citizen,Coronavirus,Er der noget jeg som enkelt person kan gøre for at mindske smitten,vide hvad du kan gøre som borger for at minimere spredningen af Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Returning From Travel,Coronavirus,Jeg er blevet opfordret til at komme hjem fra en længerevarende rejse men jeg er i tvivl om hvad jeg helt konkret skal gøre ,vide hvad du skal gøre hvis du er ved at returnere fra et andet land
Danish,Coronavirus Recommendations,Returning From Travel,Coronavirus,Er i spanen og skal til og hjem. Hva gør jeg,vide hvad du skal gøre hvis du er ved at returnere fra et andet land
Danish,Employer Guidelines,Sick Employee,Coronavirus,"Jeg har en ansat der er blevet smittet med corona og pågældende har været på arbejde indtil symptomer blussede frem, det betyder potentielt at andre medarbejdere også er smittet - hvad gør jeg lige her ",vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er blevet smittet
Danish,Coronavirus Recommendations,Infection Prevention,Coronavirus,Hvordan undgår man bedst muligt at blive smittet af corona ,vide hvordan du kan undgå at blive smittet
Danish,Coronavirus Recommendations,Doctor,Coronavirus,I hvilke tilfælde af utilpashed bør man opsøge læge ,vide hvornår du burde tage til lægen
Danish,About Coronavirus,Methods of Transmission,Coronavirus,Smitter corona gennem spyt eller er det også ved håndtryk,vide hvordan Coronavirus/COVID-19 smitter
Danish,Coronavirus Recommendations,Pet,Coronavirus,"jeg er testet positiv for corona og har en hund, bør jeg være bekymret for at den kan blive smittet ",vide hvad du skal gøre med dit kæledyr hvis du er testet positiv for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,People At Risk,Coronavirus,Er der nogle befolkningsgrupper som er mere udsatte end andre i forhold til at blive smittet af corona og alvorligt syg,vide hvem der er i særlig risiko for smitte og efterfølgende sygdom
Danish,Coronavirus Recommendations,Precautions,Coronavirus,skal rejse - noget særligt jeg skal være obs på,vide hvilke foranstaltninger du burde tage hvis du skal rejse
Danish,Coronavirus Recommendations,Actions If At Risk,Coronavirus,Er der nogle særlige forholdsregler man bør tage hvis man er i risikogruppen for corona,vide hvad du skal gøre hvis du er en del af en af risikogrupperne
Danish,Coronavirus Recommendations,Pregnant,Coronavirus,Er man særligt udsat hvis man bliver smittet af corona og er gravid,vide hvad du skal gøre hvis du er gravid
Danish,Coronavirus Recommendations,Swimming Hall,Coronavirus,Er det en dårlig ide at tage i svømmehallen i forbindelse med smitterisiko?,vide om du er i særlig risiko for at blive smittet hvis du svømmer i en svømmehal
Danish,Coronavirus Recommendations,Precautions,Coronavirus,"Hvis jeg er nødsaget til at rejse på trods af anbefalinger om ikke at rejse ud foreløbig, hvad kan jeg så gøre ",vide hvilke foranstaltninger du burde tage hvis du skal rejse
Danish,Coronavirus Recommendations,Children,Coronavirus,Er børn en del af risikogruppen for smitte?,vide om børn er i særlig risiko for at blive smittet
Danish,Coronavirus Recommendations,Mask,Coronavirus,Bør man bære maske når man er ude i det offentlige rum,vide om du burde bære en maske
Danish,About Coronavirus,Symptoms,Coronavirus,Hvilke symptomer bør man være opmærksom på hvis man er blevet syg ,vide hvilke symptomer man udviser når man er smittet med Coronavirus/COVID-19
Danish,About Coronavirus,Methods of Transmission,Coronavirus,"Hvordan smitter corona fra person til person, gennem luften?",vide hvordan Coronavirus/COVID-19 smitter
Danish,About Coronavirus,What Is Coronavirus,Coronavirus,Jeg er ikke helt sikker på at jeg har forstået hvilken virus covid.19 er og hvor den stammer fra ,vide hvad Coronavirus/COVID-19 er
Danish,About Coronavirus,What Do We Know About Coronavirus,Coronavirus,Hvad ved man indtil videre om corona virussen?,vide hvad vi ved om Coronavirus/COVID-19
Danish,Employer Guidelines,Quarantine,Coronavirus,"jeg har en ansat i karantæne, burde jeg sende flere medarbejdere hjem eller hvad skal jeg gøre",vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er under karantæne
Danish,About Coronavirus,What Do We Know About Coronavirus,Coronavirus,hvad ved man om corona nu,vide hvad vi ved om Coronavirus/COVID-19
Danish,About Coronavirus,Testing,Coronavirus,hvem vil I anbefale bliver testet,vide hvem burde testes
Danish,Coronavirus Recommendations,Employer,Coronavirus,hvordan kan jeg skærme mine ansatte eller minimere risikoen for at de bliver smittet,vide hvad du skal gøre som arbejdsgiver for at beskytte dine ansatte
Danish,Coronavirus Recommendations,Illness,Coronavirus,jeg er syg nu. Hva må jeg?,vide hvad du skal gøre hvis du er blevet syg
Danish,Coronavirus Recommendations,Precautions,Coronavirus,"hvilke forholdsregler skal jeg tage, før jeg rejser ud",vide hvilke foranstaltninger du burde tage hvis du skal rejse
Danish,Employer Guidelines,Sick Employee,Coronavirus,"jeg gør vi på arbejde, hvis en af de ansatte bliver smittet",vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er blevet smittet
Danish,Coronavirus Recommendations,Mask,Coronavirus,skal vi have mundværn på,vide om du burde bære en maske
Danish,About Coronavirus,Latest News,Coronavirus,Hva er der af nyheder om corona_,spørge om de seneste nyheder vedrørende Coronavirus/COVID-19
Danish,About Coronavirus,Latest News,Coronavirus,nyeste updates om covid_,spørge om de seneste nyheder vedrørende Coronavirus/COVID-19
Danish,About Coronavirus,Latest News,Coronavirus,er der nyt om corona_,spørge om de seneste nyheder vedrørende Coronavirus/COVID-19
Danish,About Coronavirus,Latest News,Coronavirus,hvad er seneste updates om corona_,spørge om de seneste nyheder vedrørende Coronavirus/COVID-19
Danish,About Coronavirus,Latest News,Coronavirus,hjælp mig lige med nyeste om covid 19_,spørge om de seneste nyheder vedrørende Coronavirus/COVID-19
Danish,About Coronavirus,Latest News,Coronavirus,har du nyheder om covid 19_,spørge om de seneste nyheder vedrørende Coronavirus/COVID-19
