Language, Domain, Intent, Industry, Text, Want To
English,Coronavirus Recommendations,Pregnant,Coronavirus,am I at risk if I am preganant and get corona?,know what to do if you're pregnant
English,Coronavirus Recommendations,Children,Coronavirus,what are the chances for a kid with corona to die?,know if children are at risk
English,Coronavirus Recommendations,Mask,Coronavirus,should I wear a mask every time I go out?,know if you should be wearing a mask
English,Coronavirus Recommendations,Swimming Hall,Coronavirus,is is possible to get infected with corona if i go swimming?,know if you are at risk of infection if you go swimming in a swimming hall
English,Coronavirus Recommendations,Precautions,Coronavirus,how can i prevent getting corona while travelling?,know which precautions to take if you're going travelling
English,Employer Guidelines,Sick Employee,Coronavirus,what should my direct report do if he is infected with corona virus?,know what to do if one of your employees has been infected
English,Employer Guidelines,Refusal To Work,Coronavirus,does my employees have the right to refuse working because of COVID 19,know what your options are as an employer if one of your employees is refusing to work due to Coronavirus/COVID-19
English,Employer Guidelines,Refusal To Travel,Coronavirus,are my employees allowed to refuse travelling because of corona?,know if an employee can refuse to travel due to Coronavirus/COVID-19
English,Employer Guidelines,Vacation,Coronavirus,can my employees reschedule their vacation because of covid 19?,know if scheduled vacation can be changed if an employee cannot vacation due to Coronavirus/COVID-19
English,Employer Guidelines,Daycare,Coronavirus,what if my employees can't work because their kids are at home,know what to do if an employee is unable to get anyone to care for their child if their school or institution is closed due to Coronavirus/COVID-19
English,Employer Guidelines,Quarantine,Coronavirus,"if one my employees has corona, does he have to work from home",know what to do if one of your employees is under quarantine
English,Contact,Hotline,Coronavirus,what's the phone number where i can find more information about corona,contact a hotline
English,Gatherings,Cancelling Gathering,Coronavirus,what are the government recommendation in denmark? ,know why the government recommends cancelling gatherings of people
English,Gatherings,Arranging Gathering,Coronavirus,are there any rules when arranging a meeting? ,know what to do if you're arranging a gathering of people
English,Gatherings,Gathering Precautions,Coronavirus,what are the rules to follow when scheduling a meeting? ,know what precautions you can take when arranging a gathering of people
English,Coronavirus Recommendations,Returning From Travel,Coronavirus,what should i do after getting back home from another country? ,know what to do if you're returning from travelling abroad
English,Coronavirus Recommendations,Employer,Coronavirus,what is the employer supposed to do to protect the employees? ,know what to do as an employer to protect your employees
English,Coronavirus Recommendations,Citizen,Coronavirus,can i take an action to minimize the spead of coronavirus? ,know what you can do as a citizen to minimize the spread of Coronavirus/COVID-19
English,Coronavirus Recommendations,Not At Risk,Coronavirus,is there anything I should do if i am not risky,know what to do as a person who does not fall within any of the known risk groups
English,Coronavirus Recommendations,Infection Prevention,Coronavirus,how can I prevent getting infected with coronavirus?,know how to prevent yourself from being infected
English,Coronavirus Recommendations,Doctor,Coronavirus,when should I go to the doctor+,know when you should go to the doctor
English,About Coronavirus,Latest News,Coronavirus,what is the current number of cases in the world?,ask for the latest news on Coronavirus/COVID-19
English,About Coronavirus,Status,Coronavirus,what's the current status of covid 19? ,know what the status of Coronavirus/COVID-19 is
English,About Coronavirus,Strategy,Coronavirus,how will covid 19 be stopped?,know what the current strategy is
English,About Coronavirus,Testing,Coronavirus,can anyone be tested for corona`,know who should be tested
English,About Coronavirus,Fear,Coronavirus,how dangerous is coronvirus?,know how afraid you should be of Coronavirus/COVID-19
English,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,what are the heath authorities recommendations in denmark? ,know what the Health Authority recommendations are
English,Coronavirus Recommendations,Public Spaces,Coronavirus,what are the rules to follow in public? ,ask for recommendations as to how to act in public spaces
English,Coronavirus Recommendations,Illness,Coronavirus,what should I do if I feel sick?,know what to do if you've fallen ill
English,Coronavirus Recommendations,Contact With Infected,Coronavirus,my friend was confirmed with coronavirus. what should I do? ,know what to do if you've been in contact with a person who has tested positive for Coronavirus/COVID-19
English,Coronavirus Recommendations,Pet,Coronavirus,should I do anything if my dog has coronavirus,know what to do with your pet if you've tested positive for Coronavirus/COVID-19
English,About Coronavirus,Coronavirus Versus Influenza,Coronavirus,are there any resemblances between coronavirus and influenza?  ,ask if Coronavirus/COVID-19 is the same as Influenza
English,About Coronavirus,Symptoms,Coronavirus,what are symptoms of coronavirus infection? ,know what the symptoms of being infected with Coronavirus/COVID-19 are
English,About Coronavirus,Methods of Transmission,Coronavirus,how can i get infected with Coronavirus? ,know how Coronavirus/COVID-19 is transmitted
English,About Coronavirus,Treatment,Coronavirus,is there a treatment for coronavirus,know how Coronavirus/COVID-19 is treated
English,About Coronavirus,What Is Coronavirus,Coronavirus,what is exactly coronavirus? ,know what Coronavirus/COVID-19 is
English,About Coronavirus,What Do We Know About Coronavirus,Coronavirus,do we know how coronavirus impacts the humas ,know what we know about Coronavirus/COVID-19
English,Coronavirus Recommendations,Employer,Coronavirus,what is the employer supposed to do to protect the employees? ,know what to do as an employer to protect your employees
English,About Coronavirus,Symptoms,Coronavirus,what are coronavirus symptoms? _,know what the symptoms of being infected with Coronavirus/COVID-19 are
English,Coronavirus Recommendations,Illness,Coronavirus,what should I do if I got infected with covid-19?_,know what to do if you've fallen ill
English,Contact,Hotline,Coronavirus,where can I find info about coronavirus? _,contact a hotline
English,Contact,Hotline,Coronavirus,what is the phone number for coronavirus hotline? _,contact a hotline
English,Coronavirus Recommendations,Precautions,Coronavirus,can i travel? _,know which precautions to take if you're going travelling
English,Coronavirus Recommendations,Actions If At Risk,Coronavirus,What should I do if I'm in an at risk group?,know what to do if you're a part of an at risk group
English,Coronavirus Recommendations,Pregnant,Coronavirus,Should I be isolating if I am pregnant?,know what to do if you're pregnant
English,Coronavirus Recommendations,Children,Coronavirus,What is the risk to my children?,know if children are at risk
English,Coronavirus Recommendations,Mask,Coronavirus,Should we be wearing N95 masks to protect us?,know if you should be wearing a mask
English,Coronavirus Recommendations,Swimming Hall,Coronavirus,Is it safe to go swimming?,know if you are at risk of infection if you go swimming in a swimming hall
English,Coronavirus Recommendations,Precautions,Coronavirus,What do I need to do if I'm going away?,know which precautions to take if you're going travelling
English,Coronavirus Recommendations,Returning From Travel,Coronavirus,What do I need to do if I'm coming back home from another country?,know what to do if you're returning from travelling abroad
English,Coronavirus Recommendations,Pet,Coronavirus,Shoot it,know what to do with your pet if you've tested positive for Coronavirus/COVID-19
English,Coronavirus Recommendations,People At Risk,Coronavirus,all humans,know who especially are at risk of infection and subsequent illness
English,Coronavirus Recommendations,Actions If At Risk,Coronavirus,send thoughts and prayers,know what to do if you're a part of an at risk group
English,Coronavirus Recommendations,Pregnant,Coronavirus,buy diapers.,know what to do if you're pregnant
English,Coronavirus Recommendations,Children,Coronavirus,"yes, as their parents WILL die",know if children are at risk
English,Coronavirus Recommendations,Mask,Coronavirus,not unless it's halloween,know if you should be wearing a mask
English,Coronavirus Recommendations,Swimming Hall,Coronavirus,yes,know if you are at risk of infection if you go swimming in a swimming hall
English,Coronavirus Recommendations,Precautions,Coronavirus,don't travel,know which precautions to take if you're going travelling
English,Coronavirus Recommendations,Returning From Travel,Coronavirus,pray,know what to do if you're returning from travelling abroad
English,Employer Guidelines,Sick Employee,Coronavirus,fire them immediately.,know what to do if one of your employees has been infected
English,Employer Guidelines,Refusal To Work,Coronavirus,fire them immediately.,know what your options are as an employer if one of your employees is refusing to work due to Coronavirus/COVID-19
English,Employer Guidelines,Refusal To Travel,Coronavirus,they can refuse unless they want to keep their job.,know if an employee can refuse to travel due to Coronavirus/COVID-19
English,Employer Guidelines,Vacation,Coronavirus,yes,know if scheduled vacation can be changed if an employee cannot vacation due to Coronavirus/COVID-19
English,Employer Guidelines,Daycare,Coronavirus,fire them,know what to do if an employee is unable to get anyone to care for their child if their school or institution is closed due to Coronavirus/COVID-19
English,Employer Guidelines,Quarantine,Coronavirus,fire them,know what to do if one of your employees is under quarantine
English,Contact,Hotline,Coronavirus,can i call a hotline,contact a hotline
English,Gatherings,Cancelling Gathering,Coronavirus,because they have seen thousands of deaths,know why the government recommends cancelling gatherings of people
English,Gatherings,Arranging Gathering,Coronavirus,make sure not to do this,know what to do if you're arranging a gathering of people
English,Gatherings,Gathering Precautions,Coronavirus,make sure to shoot them all afterwards,know what precautions you can take when arranging a gathering of people
English,Coronavirus Recommendations,Contact With Infected,Coronavirus,pray,know what to do if you've been in contact with a person who has tested positive for Coronavirus/COVID-19
English,Coronavirus Recommendations,Pregnant,Coronavirus,What should I do if I am pregnant?,know what to do if you're pregnant
English,Coronavirus Recommendations,Children,Coronavirus,Are children at risk from this?,know if children are at risk
English,About Coronavirus,Status,Coronavirus,Status of COVID-19,know what the status of Coronavirus/COVID-19 is
English,About Coronavirus,Strategy,Coronavirus,What is the current strategy,know what the current strategy is
English,About Coronavirus,Testing,Coronavirus,Who should be tested?,know who should be tested
English,About Coronavirus,Fear,Coronavirus,How fearful should I be of Coronavirus?,know how afraid you should be of Coronavirus/COVID-19
English,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,What are the recommendations of our health authorities?,know what the Health Authority recommendations are
English,Coronavirus Recommendations,Public Spaces,Coronavirus,How should I behave when I’m with other people in public?,ask for recommendations as to how to act in public spaces
English,Coronavirus Recommendations,Illness,Coronavirus,Steps I should take when I contract the virus,know what to do if you've fallen ill
English,Coronavirus Recommendations,Contact With Infected,Coronavirus,When I’ve been in contact with somebody who has the virus what should I do?,know what to do if you've been in contact with a person who has tested positive for Coronavirus/COVID-19
English,Coronavirus Recommendations,Employer,Coronavirus,What are my responsibilities as an employer when responding to this crisis?,know what to do as an employer to protect your employees
English,Coronavirus Recommendations,Citizen,Coronavirus,As a conscious resident of the U.S. how can I mitigate the spread of the virus?,know what you can do as a citizen to minimize the spread of Coronavirus/COVID-19
English,About Coronavirus,Latest News,Coronavirus,What is total number of deaths due to Corona virus?,ask for the latest news on Coronavirus/COVID-19
English,About Coronavirus,Status,Coronavirus,Which country has the most number of casualties due to Corona virus?,know what the status of Coronavirus/COVID-19 is
English,Coronavirus Recommendations,Contact With Infected,Coronavirus,Yes,know what to do if you've been in contact with a person who has tested positive for Coronavirus/COVID-19
English,About Coronavirus,Treatment,Coronavirus,what do the doctors do if i have it?,know how Coronavirus/COVID-19 is treated
English,About Coronavirus,What Is Coronavirus,Coronavirus,Do you want to know what Coronavirus is?,know what Coronavirus/COVID-19 is
English,About Coronavirus,What Do We Know About Coronavirus,Coronavirus,_,know what we know about Coronavirus/COVID-19
English,About Coronavirus,Symptoms,Coronavirus,_,know what the symptoms of being infected with Coronavirus/COVID-19 are
English,About Coronavirus,Methods of Transmission,Coronavirus,_,know how Coronavirus/COVID-19 is transmitted
English,About Coronavirus,Treatment,Coronavirus,_,know how Coronavirus/COVID-19 is treated
English,About Coronavirus,Coronavirus Versus Influenza,Coronavirus,_,ask if Coronavirus/COVID-19 is the same as Influenza
English,About Coronavirus,Latest News,Coronavirus,_,ask for the latest news on Coronavirus/COVID-19
English,About Coronavirus,Status,Coronavirus,_,know what the status of Coronavirus/COVID-19 is
English,About Coronavirus,Strategy,Coronavirus,_,know what the current strategy is
English,About Coronavirus,Testing,Coronavirus,_,know who should be tested
English,About Coronavirus,Fear,Coronavirus,_,know how afraid you should be of Coronavirus/COVID-19
English,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,_,know what the Health Authority recommendations are
English,Coronavirus Recommendations,Public Spaces,Coronavirus,_,ask for recommendations as to how to act in public spaces
English,Coronavirus Recommendations,Illness,Coronavirus,_,know what to do if you've fallen ill
English,Coronavirus Recommendations,Contact With Infected,Coronavirus,_,know what to do if you've been in contact with a person who has tested positive for Coronavirus/COVID-19
English,Coronavirus Recommendations,Employer,Coronavirus,_,know what to do as an employer to protect your employees
English,Coronavirus Recommendations,Citizen,Coronavirus,_,know what you can do as a citizen to minimize the spread of Coronavirus/COVID-19
English,Coronavirus Recommendations,Pregnant,Coronavirus,What should a pregnant woman do to stay safe from the Coronavirus?,know what to do if you're pregnant
English,Coronavirus Recommendations,Children,Coronavirus,What is the likelihood my children will contract Coronavirus?,know if children are at risk
English,Coronavirus Recommendations,Mask,Coronavirus,Do masks protect me from the Coronavirus?,know if you should be wearing a mask
English,Coronavirus Recommendations,Swimming Hall,Coronavirus,Is it safe to swim during the Coronavirus outbreak?,know if you are at risk of infection if you go swimming in a swimming hall
English,About Coronavirus,Status,Coronavirus,ma name jef,know what the status of Coronavirus/COVID-19 is
English,About Coronavirus,Strategy,Coronavirus,watadarastage,know what the current strategy is
English,About Coronavirus,Testing,Coronavirus,whomsulbetest,know who should be tested
English,About Coronavirus,Fear,Coronavirus,really much,know how afraid you should be of Coronavirus/COVID-19
English,About Coronavirus,Methods of Transmission,Coronavirus,how do i get it?,know how Coronavirus/COVID-19 is transmitted
English,Coronavirus Recommendations,Student,Coronavirus,yes,request information about the recommendations for students during an outbreak of Coronavirus/COVID-19
English,Employer Guidelines,Sick Employee,Coronavirus,no,know what to do if one of your employees has been infected
English,Coronavirus Recommendations,Swimming Hall,Coronavirus,Am I at risk for Corona at a swimming pool?,know if you are at risk of infection if you go swimming in a swimming hall
English,Coronavirus Recommendations,Precautions,Coronavirus,What do I need to do to be safe while traveling?,know which precautions to take if you're going travelling
English,Coronavirus Recommendations,Returning From Travel,Coronavirus,Do I need to tell a doctor or health care provider if I just came back from France?,know what to do if you're returning from travelling abroad
English,Coronavirus Recommendations,Postponed Surgeries,Coronavirus,Will I still be able to have my hip replacement?,know which types of surgeries have been postponed
English,Coronavirus Recommendations,Closed Shops,Coronavirus,What's stores are closed?,know which kinds of shops are closed due to Coronavirus/COVID-19
English,Coronavirus Recommendations,Sick Child,Coronavirus,What do I need to do with my kid has fever?,ask what you should do if your child is sick
English,Coronavirus Recommendations,Purchasing Groceries,Coronavirus,Is it safe to go to the grocery store?,know if you can still purchase groceries
English,Coronavirus Recommendations,Curfew,Coronavirus,When is curfew?,know if there's a curfew in effect
English,Coronavirus Recommendations,Border,Coronavirus,Is the border closed?,ask a question related to the closing of the border
English,Coronavirus Recommendations,Visiting Elderly,Coronavirus,Can I still visit my grandparents?,know if you are still able to visit elderly people in their homes or carehomes
English,Coronavirus Recommendations,Public Transport,Coronavirus,Is it safe to take the bus?,know about the use of public transport during an outbreak of Coronavirus/COVID-19
English,Coronavirus Recommendations,Actions At Home,Coronavirus,Is there anything I need to do while at hom to be safe?,know if there are any actions you need to take at home to decrease the risk of contracting Coronavirus/COVID-19
English,Coronavirus Recommendations,Educating Children On Coronavirus,Coronavirus,Should I tell my kid about corona?,know how you should be educating your child on Coronavirus/COVID-19
English,Coronavirus Recommendations,Student,Coronavirus,How can I continue my education during the pandemic?,request information about the recommendations for students during an outbreak of Coronavirus/COVID-19
English,Employer Guidelines,Sick Employee,Coronavirus,What are the signs someone has coronavirus?,know what to do if one of your employees has been infected
English,Contact,Hotline,Coronavirus,i would like to get hold of the hotline,kontakte en hotline
English,About Coronavirus,Fear,Coronavirus,Is coronavirus so serious? How worried should I be?,know how afraid you should be of Coronavirus/COVID-19
English,About Coronavirus,Incubation Period,Coronavirus,How long does it take for me to feel sick after I catch coronavirus?,learn information about the incubation period of Coronavirus/COVID-19
English,About Coronavirus,Pandemic,Coronavirus,What does it mean when it says pandemic?,know what a pandemic is
English,About Coronavirus,Mortality Rate,Coronavirus,How often do people die from coronavirus?,know about the mortality rate of Coronavirus/COVID-19
English,About Coronavirus,Infection Through Food,Coronavirus,Can I catch coronavirus from eating takeout?,know if it's possible to contract Coronavirus/COVID-19 through food
English,About Coronavirus,Infection Of Pets,Coronavirus,Can my dog catch the virus?,know if it's possible for pets to get infected by Coronavirus/COVID-19
English,About Coronavirus,Infected Twice,Coronavirus,"If someone has gotten the virus, can they catch it again?",know if it's possible to get infected more than once
English,About Coronavirus,Coronavirus Versus Influenza,Coronavirus,_,ask if Coronavirus/COVID-19 is the same as Influenza
English,About Coronavirus,Latest News,Coronavirus,Send me information on corona virus,ask for the latest news on Coronavirus/COVID-19
English,About Coronavirus,Status,Coronavirus,what is the status on corona virus,know what the status of Coronavirus/COVID-19 is
English,Coronavirus Recommendations,Sick Child,Coronavirus,what do i do if my kid is sick,spørge om hvad du skal gøre hvis dit barn er blevet syg
English,Coronavirus Recommendations,Purchasing Groceries,Coronavirus,can i still go shopping,vide om du stadig kan gå på indkøb
English,Coronavirus Recommendations,Curfew,Coronavirus,is there a curfew,vide om der er et udgangsforbud i effekt
English,Coronavirus Recommendations,Border,Coronavirus,are the borders closed,stille et spørgsmål relateret til lukningen af grænsen
English,Coronavirus Recommendations,Visiting Elderly,Coronavirus,can i still visit elderly in their home ,vide om du stadig må besøge ældre mennesker i deres hjem eller plejehjem
English,Coronavirus Recommendations,Public Transport,Coronavirus,can i still use publictransport,vide om brugen af offentlig transport under et udbrud af Coronavirus/COVID-19
English,Coronavirus Recommendations,Actions At Home,Coronavirus,how can i reduce risk at home,vide om der er nogle tiltag du kan tage i brug derhjemme for at minimere risikoen for at blive smittet med Coronavirus/COVID-19
English,Coronavirus Recommendations,Educating Children On Coronavirus,Coronavirus,how can i teach my child about covid19,vide hvordan du skal lære dit barn om Coronavirus/COVID-19
English,Coronavirus Recommendations,Student,Coronavirus,i would like information for students during the pandemi,gerne bede om information om anbefalinger til studerende under et udbrud af Coronavirus/COVID-19
English,Employer Guidelines,Sick Employee,Coronavirus,what do i do as an employer if an employee is infected,vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er blevet smittet
English,Employer Guidelines,Refusal To Work,Coronavirus,what can i do as an employer if one of my staff refuses to go to work,vide hvad dine muligheder er som arbejdsgiver hvis en af dine ansatte nægter at arbejde på grund af Coronavirus/COVID-19
English,Employer Guidelines,Refusal To Travel,Coronavirus,can an eomployee fefuse to travel because of coronavirus,vide om en ansat kan nægte at rejse på grund af Coronavirus/COVID-19
English,Employer Guidelines,Vacation,Coronavirus,can agreed vacation be changed if an employee cant take vacation due to coronavirus,vide om aftalt ferie kan ændres hvis en ansat ikke er i stand til at holde ferie på grund af Coronavirus/COVID-19
English,Employer Guidelines,Daycare,Coronavirus,as an employer. what can i do if an employee cant send children to school or daycare,vide hvad man kan gøre som arbejdsgiver hvis en ansat ikke kan få sit barn passet fordi barnets skole eller daginstitution er lukket på grund af Coronavirus/COVID-19
English,Employer Guidelines,Quarantine,Coronavirus,what do i do as an employer if one of staff is in querantine,vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er under karantæne
English,Gatherings,Cancelling Gathering,Coronavirus,why is the government saying larger events has to be cancelled?,vide hvorfor regeringen anbefaler at forsamlinger burde aflyses
English,Gatherings,Arranging Gathering,Coronavirus,what do I do if i am planning an event,vide hvad du skal gøre hvis du er arrangør for en forsamling
English,Gatherings,Gathering Precautions,Coronavirus,what precorsiens do i have to make if i am hosting an event,vide hvilke foranstaltninger man burde tage når man er arrangør af en forsamling
English,Coronavirus Recommendations,Postponed Surgeries,Coronavirus,what kind of surgery is being postponed,vide hvilke typer operationer er blevet udskudt
English,Coronavirus Recommendations,Closed Shops,Coronavirus,what kind of stores are closed due to covid19,vide hvilke typer butikker er lukket på grund af Coronavirus/COVID-19
English,About Coronavirus,What Is Coronavirus,Coronavirus,what is coronavirus,vide hvad Coronavirus/COVID-19 er
English,About Coronavirus,What Do We Know About Coronavirus,Coronavirus,what do you know about coroa´navirus?,vide hvad vi ved om Coronavirus/COVID-19
English,About Coronavirus,Symptoms,Coronavirus,what kind of symptomps do you have if infected by covis19,vide hvilke symptomer man udviser når man er smittet med Coronavirus/COVID-19
English,About Coronavirus,Methods of Transmission,Coronavirus,how does coronavirus infect?,vide hvordan Coronavirus/COVID-19 smitter
English,About Coronavirus,Fear,Coronavirus,how scared should i be for coronavirus,vide hvor bange du burde være for Coronavirus/COVID-19
English,About Coronavirus,Incubation Period,Coronavirus,how long time does it take before i get infected until it is shown in a test?,lære information om inkubationstiden på Coronavirus/COVID-19
English,About Coronavirus,Pandemic,Coronavirus,what is a pandemi?,vide hvad en pandemi er
English,About Coronavirus,Mortality Rate,Coronavirus,how highg is the mortality with covid19,vide noget om dødeligheden/dødsraten af Coronavirus/COVID-19
English,About Coronavirus,Infection Through Food,Coronavirus,can i get infected eating food?,vide om det er muligt at blive smittet med Coronavirus/COVID-19 gennem mad
English,About Coronavirus,Infection Of Pets,Coronavirus,can pets get infected by the virus?,vide om kæledyr kan blive smittet med Coronavirus/COVID-19
English,About Coronavirus,Infected Twice,Coronavirus,can a person get the infection more than one time?,vide om det er muligt at blive smittet mere end én gang
English,About Coronavirus,How Many Infected,Coronavirus,how many people are infected with coronvirus ,vide hvor mange er blevet smittet med Coronavirus/COVID-19
English,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,what are the recommendations by the authorities,vide hvad sundhedsstyrelsens anbefalinger er
English,Coronavirus Recommendations,Public Spaces,Coronavirus,i would like to get recommendations on how to behave in the public,bede om anbefalinger til hvordan du skal begå dig i det offentlige rum
English,Coronavirus Recommendations,Illness,Coronavirus,what do i do if i fall sick,vide hvad du skal gøre hvis du er blevet syg
English,Coronavirus Recommendations,Contact With Infected,Coronavirus,what do i do if a person in my family is tested positive for covid19,vide hvad du skal gøre hvis du har været nær en person som har testet positiv for Coronavirus/COVID-19
English,Coronavirus Recommendations,Employer,Coronavirus,how do I as an employer protect my staff,vide hvad du skal gøre som arbejdsgiver for at beskytte dine ansatte
English,Coronavirus Recommendations,Citizen,Coronavirus,how can I as an citizen minimise the spread of the virus,vide hvad du kan gøre som borger for at minimere spredningen af Coronavirus/COVID-19
English,Coronavirus Recommendations,Not At Risk,Coronavirus,what can i do if i am not in the known risk groups,vide hvad du skal gøre som en person som ikke er en del af de kendte risikogrupper
English,Coronavirus Recommendations,Infection Prevention,Coronavirus,how can i prevent getting infected,vide hvordan du kan undgå at blive smittet
English,Coronavirus Recommendations,Doctor,Coronavirus,when should i see my doctor?,vide hvornår du burde tage til lægen
English,Coronavirus Recommendations,Pet,Coronavirus,what do i do with my pet if i am tested positive?,vide hvad du skal gøre med dit kæledyr hvis du er testet positiv for Coronavirus/COVID-19
English,Coronavirus Recommendations,People At Risk,Coronavirus,who is at risk getting the virus and hence become sick?,vide hvem der er i særlig risiko for smitte og efterfølgende sygdom
English,Coronavirus Recommendations,Actions If At Risk,Coronavirus,what do I do if I am in the the riskgroup,vide hvad du skal gøre hvis du er en del af en af risikogrupperne
English,Coronavirus Recommendations,Pregnant,Coronavirus,what do i do if being pregnant?,vide hvad du skal gøre hvis du er gravid
English,Coronavirus Recommendations,Children,Coronavirus,are kids in a high risk getting infected?,vide om børn er i særlig risiko for at blive smittet
English,Coronavirus Recommendations,Mask,Coronavirus,am i supposed to wear a mask?,vide om du burde bære en maske
English,Coronavirus Recommendations,Swimming Hall,Coronavirus,am I at risk to get infected swimming in a public pool?,vide om du er i særlig risiko for at blive smittet hvis du svømmer i en svømmehal
English,Coronavirus Recommendations,Precautions,Coronavirus,what precautions should i make if travelling,vide hvilke foranstaltninger du burde tage hvis du skal rejse
English,Coronavirus Recommendations,Actions If At Risk,Coronavirus,What should I do if i'm a person who is more vulnerable than others,vide hvad du skal gøre hvis du er en del af en af risikogrupperne
English,Coronavirus Recommendations,Returning From Travel,Coronavirus,what do I do if i am returning from abroad?,vide hvad du skal gøre hvis du er ved at returnere fra et andet land
English,About Coronavirus,Strategy,Coronavirus,wht is the current startegy?,vide hvad den nuværende strategi er
English,About Coronavirus,Testing,Coronavirus,who should get a test?,vide hvem burde testes
English,Coronavirus Recommendations,Pregnant,Coronavirus,"i'm having a baby, should I be worried?",vide hvad du skal gøre hvis du er gravid
